Blocs du tableau périodique des éléments,
Definition electrons de valences,"e- occupants les OA de nombre quantique n le plus élevées et les couches (n-1)d, (n-2)f si elle sont incomplètes"
Energie des OA,"E(n, l) = -13.6 (Z*(n, l))^2 / n^2 eV
Avec Z* le numéro atomique effectif"
Energie d’ionisation et affinité électronique,"Energie d’ionisation : energie requise pour :
A(g) —> A+(g) + e-

Affinité électronique : energie requise pour :
A+(g) + e- —> A(g)"
Equation de Schrödingerstationnaire ,"H(psi) = E • psi
H : operateur hamiltonien
E : valeur propre"
Longueur d’onde de Broglie,Lambda = h/p = h/mv
"Nom des colones 1, 2, 16, 17, 18 du tableau périodique","1 : alcalins
2 : alcalinoterreux
16 : chalcogène
17 : halogène
18 : gaz rares"
Nom des règle pour établir une configuration électronique,"« Par constitution on remplit les orbitales atomiques en respectant la **règle de Klechkowski**, le **principe de Pauli** (et la **règle de Hund**) »"
Nombre d’orbitale dégénérées par niveau d’énergie,n^2 OA
Nombres quantiques,"- n in N* : nb principal, quantifie l’énergie
- l in [|0, n-1|] : nb secondaire, quantifie le moment cinétique orbital
- m in [|-l, l|] : nb quantique magnétique, quantifie la projection sur Oz du moment cinétique orbital "
Orbitales dégénéré,Même niveau d’énergie
Principe d’indétermination d’Heisenberg,u(p) • u(x) > h/4pi
Probabilité de presence d’une particule,"dP = psi^2 • dtau

dtau : volume infonitesimal"
Rayon de Bohr,"a0 = 52,9 pm"
Rayon d’une orbitale rho,"Max de la densité de probabilité radiale :
D(r) = R^2n,l(r) • r^2
 rho augmente avec r
rho ≈ n^2 • (a0/Z*(n, l))
Avec a0 le rayon de Bohr et Z* le numéro atomique effectif"
Recouvrement entre deux fonctions solution d’un hamiltonien,"Sij = integrale(V)(psii• psij • dtau)
= deltaij si même hamiltonien"
Taille d’un atome,"0,1 nm"
