Acide alpha aminé,"Acide carboxylique portant une fonction aminé primaire sur le carbone en alpha
—> glycine (R = R’ = H) et alanine (R’ = H, R = CH3)
"
Acylation d’Hoffmann,
Agents chlorurant,"SOCl2, PCl3, PCl5
Pas de formation de HCl pour PCl3"
Anhydride d’acide,
Chlorure d’acyle ou chlorure d’acide,
Définition peptide,« Polymère »  qui n’a pas forcément de motif de 2 a 20 acides aminés liés entre eux par des liaisons peptidiques c’est a dire par des liaisons entre COOH et NHR suite a des condensation
Définition polymère,"Ensemble de macromolécules de longueurs différentes, chaque macromolécules est formé de motifs
—> PET
"
Définition protéine,"Macromolécule constituée d’une ou plusieurs chaînes polypeptidique comptant chacune en generale plus dd 100 acides aminés
—> Hémoglobine"
Esterification de Fischer,
pKa groupes partants dérivées d’acides,"- HCl/Cl- : -3
- RCOOH/RCOO- : 5
- H2O/HO- : 14
- ROH/RO- : 16-20
- NH3/NH2- : 33"
Reactif pour formation d’anhydride a partir d’un acide carboxylique,P4O10
