Consequence pour les espaces propres de u quand u commute avec v,Les espace propres sont stables par v
Definition valeur propre de u in L(E),"lambda telle qu’il existe x in E\{0}, u(x) = lambda • x"
Definition vecteur propre x de u in L(E),"x ≠ 0
il existe lambda in K, u(x) = lambda • x"
Espace propre de u in L(E),"Elambda(u) = {x, u(x) = lambda • x} = Ker(u - lambda • IdE)"
Espaces propres de l’induit uf,Elambda(uf) = Elambda(u) inter F
Inégalité sur dim(Elambda(u)),1 =< dim(Elambda(u)) =< m(lambda)
Khi(lambda) = 0 <=> …,… <=> lambda in Sp(u)
"P(lambda) = …
avec P un polynôme annulateur de u et lambda une valeur propre de u",… = 0
"P(u)(x) = …
x in Elambda(u)",… = P(lambda) • x
Polynôme caractéristique de u in L(E),"Xiu = det(X • idE - u)

Xiu = X^n - tr(u) • X^{n-1} + … + det(u)"
Théorème de Cayley Hamilton,Khiu(u) = 0
Trace et determinant d’un endomorphisme dont le polynôme caractéristique est scindé,"det(u) = prod(lambda in Sp(u))(lmabda^m(lambda))
tr(u) = sum(lambda in Sp(u))(m(lambda) • lambda)"
u diagonalisable ssi …,"… ssi sum(lambda in Sp(u))(dim(Elambda(u))) = dim(E)

ssi u est annulé par un polynôme simplement scindé

ssi u est annulé par prod(lambda in Sp(u))(X - lambda)

ssi Khiu est scindé sur K et pour tout lamba in Sp(u) dim(Elambda(u)) = m(lamba)

ssi il existe une base de E de vecteurs propres de u"
"u in L(E) (diagonalisable ou trigonalisable), u(F) in F",uf est (diagonalisable ou trigonalisable)
u in L(E) E un K espace vectoriel est trigonalisable ssi …,… ssi Khiu est scindé dans K
