Caractéristiques ISS,"Altitude : 400 km
Inclinaison : pi/4 rad
Periode de rotation : 50 minutes"
Diametre apparent du soleil et de la lune,"0,5 degré"
Distance Terre Lune,380 000 km
Energie potentielle de la force d’inertie d’entraînement dans 2 cas particuliers,"- translation uniformément accéléré
Epie = m • vec(ae) • vec(O’P) + cste
- rotation uniforme par rapport a un axe fixe
Epie = -1/2 • m • omega^2 • r^2 + cste"
Formule de changement de point fixe d’un moment,"vec(LB)(P) = vec(LA)(P) + vec(BA) ^ (m • vec(v)(P))

vec(MB)(vec(f)) = vec(MA)(vec(f)) + vec(BA) ^ vec(f)"
Masse de la Terre,6 • 10^{24} kg
Masse du soleil ,2 • 10^{30} kg
Periode du mouvement du soleil par rapport au centre de masse du système solaire,12 ans
PFD dans un référentiel R’ non galiléen,"m • vec(aR’)(P) = sum(k = 1, N)(vec(fk)) + vec(fie)(P) + vec(fic)(P)

Avec :
- vec(fie) = - m • vec(ae)(P) la force d’inertie d’entraînement
- vec(fic)(P) = - m • vec(ac)(P) la force d’inerte de Coriolis"
Rayon de la Lune,1 500 km
Rayon de la terre,6400 km
Rayon du soleil,7 • 10^5 km
Théorème de la quantite de mouvement dans le référentiel terrestre,"m • vec(aRp)(M) = sum(i = 1, k)(vec(fk)) + m • vec(g)(P) - 2m • vec(Omega) ^ vec(vRp)(M)"
