Definition rayonnement,Transfert de chaleur à travers un milieu transparent par l’intermédiaire d’une onde électromagnétique
Diffusivité thermique,a = lambda / (mu•C)
Hypothèse d’Equilibre Thermodynamique Local (ETL),"Pour des déséquilibres pas trop fort et un volume élémentaire : T(M, t), P(M, t), U(M, t), … sont définis"
Loi de newton pour un flux conducto-convectif,"phicc(P, t) = h • (Tf(P, t) - Ts(P, t))"
Loi phénoménologique de Fourier,"vec(jth) = - lamnda • vec(grad(T))(M, t)

lambda est la conductivité thermique"
Ordre de grandeur diffusion thermique acier,"Conductivité thermique : 50 W•m^{-1}•K^{-1}

Diffusivité thermique : 10^{-5} m^2•s^{-1}"
Ordre de grandeur diffusion thermique air,"Conductivité thermique : 2,6 • 10^{-2} W•m^{-1}•K^{-1}

Diffusivité thermique : 2 • 10^{-5} m^2•s^{-1}"
Ordre de grandeur diffusion thermique beton,"Conductivité thermique : 1 W•m^{-1}•K^{-1}

Diffusivité thermique : 5 • 10^{-7} m^2•s^{-1}"
Ordre de grandeur diffusion thermique cuivre,"Conductivité thermique : 400 W•m^{-1}•K^{-1}

Diffusivité thermique : 1,2 • 10^{-4} m^2•s^{-1}"
Ordre de grandeur diffusion thermique eau,"Conductivité thermique : 0,6 W•m^{-1}•K^{-1}

Diffusivité thermique : 1,4 • 10^{-7} m^2•s^{-1}"
