Attribut ou colonne,Composente de l’information stockée dans une table
Clef primaire,"Ensembles d’attribus, qui s’il sont eguaux sur deux lignes, donne l’égalité des lignes"
Clef étrangère,Ensemble d’attributs qui fait reference a la clef primaire d’une autre table
Conditionnement fonction agregation,GROUP BY attribut
Definition table ou relation,Ensemble de données cohérentes
Domaines,Ensemble de valeur que peut prendre un attribut
"Enregistrement, ligne, n-uplet",Représente une information de la réalité
Fonctions d’agrégation,"MIN(), MAX(), SUM(), COUNT(), AVG()"
Imposer une condition sur les lignes,WHERE condition1 AND/OR condition2
Imposer une condition sur une fonction d’agrégation,HAVING condition
Jointure de table,JOIN table2 ON table1.clef_primaire = table2.clef_etrangère
Limiter la taille du tableau,LIMIT entier1 OFFSET entier2
Ordonner le tableau,"ORDER BY attribut1 ASC/DESC, attribut2 ASC/DESC"
Ordre des mots clefs dans une requête,"SELECT …
FROM …
JOIN … ON …
WHERE … AND/OR …
GROUP BY …
HAVING …
ORDER BY … ASC/DESC, … ASC/DESC
LIMIT …
OFFSET …"
Requête ensembliste,"Requête1
UNION/INTERSECT/EXCEPT
Requête2"
Schéma de table de données,Contient toutes les informations et règles qui régissent les tables d’une base de données.
Selectionner des attributs,"SELECT attribut, fonction_agregation(attribut)
FROM table1, table2"
Supprimer ligne en doublon,DISTINCT
