Comparaison diffusion / convection,"||(vec(v) • vec(grad))(vec(v))|| / nu • ||Laplacien(vec(v))|| ~ Re

||vec(jconv)|| / ||vec(jdiff)|| ~ Re

Tdiff / Tconv ~ Re"
Force de frottement fluide pour une sphère de rayon r,"- Re < 1:
vec(f) = -6 • etha • pi • r • vec(v)

- 2000 < Re < 200 000:
vec(f) = - 1/2 • C • mufluide • pi • r^2 • v • vec(v)"
Loi de Newton,"Composante tangentielle x de la force exercée entre deux couche de fluide :
vec(dF) = etha • drondv/drondy • dS • vec(ux)"
Nombre de reynolds,"Re = mufluide • v • L / etha = v • L / nu

etha est la viscosité dynamique et nu = etha / mufluide est la viscosité cinématique"
Ordre de grandeur de la couche limite,L/sqrt(Re)
Resultante des forces de viscosité,vec(dF) = etha • Laplacien(vec(v))(M) • dtau
Viscosité dynamique de la glycérine,etha ≈ 1 Pl
Viscosité dynamique de l’air,"etha = 1,8 • 10^{-5} Pl"
Viscosité dynamique de l’eau,"etha = 1,0 • 10^{-3} Pl"
Viscosité dynamique de l’huile d’olive,"etha ≈ 0,1 Pl"
