Conditions aux limites,"Données de n(P, t) ou vec(j)(P,t) • vec(up) en tout point P de la frontière du domaine de resolution"
Conditions initiales,"Données de n(M, 0) ou vec(j)(M, 0) en tout point M du domaine de resolution"
Conséquence du regime permanent d’un écoulement : vecteur densité de courant a flux concervatif,"- div(vec(j)) = 0

- le flux de vec(j) est nul a travers une surface fermée

- vec(j) est le même pour toute section d’un même tube de champ"
Definition conduction / diffusion,Transport de matière du a l’agitation thermique sans mouvement macroscopique
Definition convection,Transport de matière associée a un mouvement macroscopique
Definition du vecteur densité de courant de particules,"dPhiS = vec(j(M, t)) • vec(dSM) + shema "
Definition flux de particules a travers une surface,PhiS = dN / dt
Généralisation d’un bilan de particules,"drondn/drondt + div(vec(j)) = p

Avec n la densité de particules, vec(j) le vecteur densité de courant de particules et p le nombre de particules produites par unité de volume et de temps"
Loi de Fick,"vec(j) = - D • vec(grad(n))

Avec D le coefficient de diffusion en m^2•s^{-1}
"
Loi de la diffusion,drondn/drondt = D • Laplacien(n) + p
Ordre de grandeur de la distance caractéristique d’un phénomène de diffusion,L ~ sqrt(D • T)
Ordre de grandeur du coefficient de diffusion,"D ~ v* • l avec v la vitesse quadratique moyenne et l le libre parcours moyen

- Molecules dans un gaz : 10^{-6} a 10^{-4}

- Molecules dans un liquide : 10^{-12} a 10^{-8}

- Atomes dans un solide : 10^{-30} a 10^{-16}"
Vecteur densité de courant de particules pour la convection,"vec(jconv(M, t)) = n(M, t) • vec(v(M, t))"
