(vec(a) • vec(grad))(vec(a)) = …,… = 1/2 • vec(grad)(a^2) + vec(rot)(vec(a)) ^ vec(a)
b scalaire gradient,"- Scalaire : (vec(b) • vec(grad))(U) = vec(b) • vec(grad)(U)
- Vectoriel : (vec(b) • vec(grad))(vec(a)) = ((vec(b) • vec(grad))(ax), (vec(b) • vec(grad))(ay), (vec(b) • vec(grad))(az)) = (bx • drondax/drondx + by • drondax/drondy + bz • drondax/drondz, bx • dronday/drondx + by • dronday/drondy + bz • dronday/drondz, bx • drondaz/drondx + by • drondaz/drondy + bz • drondaz/drondz)"
Critère de Nyquist-Shannon,"Considérons un signal s(t) présentant un spectre dont les fréquences appartiennent à l’intervalle [0, fmax]. Pour que le spectre obtenu numériquement avec une fréquence d’échantillonnage fe soit bien celui du signal s(t):
- fe >2 fmax"
div(vec(a) ^ vec(b)) = …,… = vec(b) • vec(rot)(vec(a)) - vec(a) • vec(rot)(vec(b))
div(vec(rot)(vec(a))) = …,… = 0
Divergence de vec(a),div(vec(a)) = drondax/drondx + dronday/drondy + drondaz/drondz
Gradient de U,"- vec(grad)(U) = drondU/deondx • vec(ux) + drondU/deondy • vec(uy) + drondU/deondz • vec(uz)
- vec(grad)(U) = drondU/deondr • vec(ur) + 1/r • drondU/deondtheta • vec(utheta) + drondU/deondz • vec(uz)
- vec(grad)(U) = drondU/deondr • vec(ur) + 1/r • drondU/deondtheta • vec(utheta) + 1/rsin(theta) • drondU/deondphi • vec(uphi)"
Laplacien,"- Scalaire : Delta(U) = div(vec(grad)(U)) = drond^2U/drondx^2 + drond^2U/drondy^2 + drond^2U/drondz^2
- Vectoriel : Delta(vec(a)) = vec(grad)(div(vec(a))) -vec(rot)(vec(rot)(vec(a))) = (Delta(ax), Delta(ay), Delta(az)) = (drond^2ax/drondx^2 + drond^2ax/drondy^2 + drond^2ax/drondz^2, drond^2ay/drondx^2 + drond^2ay/drondy^2 + drond^2ay/drondz^2, drond^2az/drondx^2 + drond^2az/drondy^2 + drond^2az/drondz^2)"
Rotationnel de vec(a),"vec(rot)(vec(a)) = (drondaz/drondy - dronday/drondz, drondax/drondz - drondaz/drondx, dronday/drondx - drondax/drondy)"
Système international d’unité,
Théorème de Stokes,
Théorème d’Ostrogradski,
vec(rot)(U • vec(a)) = …,… = vec(grad)(U) ^ vec(a) + U • vec(rot)(vec(a))
vec(rot)(vec(grad)(U)) = …,… = vec(0)
vec(rot)(vec(rot)(vec(a))) = …,… = vec(grad)(div(vec(a))) - Delta(vec(a))
