Bilan énergétique pour une onde acoustique,"dronde/drondt + div(vec(Pi)) = 0
dE/dt + PhiPi = 0"
Celerite du son,"c = 1 / sqrt(mu0 • chi0)
Avec chi0 = 1/mu0 • dmu/dP(P0)"
Celerite du son dans un gaz parfait,c = sqrt(gamma • P0 / mu0) = sqrt(gamma • R • T0 / M)
Célérité et impédance acoustique de l’acier,"c ≈ 5000 m/s
Z = 4 • 10^7 kg • m^{-2} • s^{-1}"
Célérité et impédance acoustique de l’air,"c = 344 m/s
Z = 440 kg • m^{-2} • s^{-1}"
Célérité et impédance acoustique de l’eau,"c ≈ 1400 m/s
Z = 1,4 • 10^6 kg • m^{-2} • s^{-1}"
Densité volumique d’énergie d’une onde acoustique,"e = ec + ep
ec = 1/2 • mu0 • v1^2
ep = 1/2 • chi0 • P1^2"
Equations de propagation de p et vec(v),"- chi0 • drondP1/drondt = - div(vec(v1))
- mu0 • drondvec(v1)/drondt = - vec(grad(P1))"
Fréquences audibles,"[20 Hz, 20kHz]"
Intensité sonore,"I = <Pi>

IdB = 10 • log(I/I0)
I0 = 10^{-12} W • m^{-2}

IdB = 20 • log(P1eff/P1eff0)
P1eff0 = 2•10^{-5}"
Seuil de douleur,"IdB = 120dB
P1eff = 20 Pa"
Seuil d’audibilité ,"I0 = 10^{-12} W • m^{-2}
IdB = 0
P1eff = 2 • 10^{-5} Pa"
Vecteur Poynting sonore,vec(Pi) = P1 • vec(v1)
