Changement d’etat,"Solide -fusion-> liquide
Liquide -solidification-> solide
Liquide -vaporisation-> gaz
Gaz -liquefaction-> liquide
Gaz -condensation-> solide
Solide -sublimation-> gaz
"
Constante de Boltzmann,"kB = 1,38 • 10^{-23} J • K^{-1} = R/Na"
Constante des gaz parfaits,"R = 8,314 J • mol^{-1} • K^{-1}"
Equation d’etat des phases peu compressibles et peu dilatable,"À T fixé :
DeltaVm/Vm = -XiT • DeltaP

À P fixé :
DeltaVm/Vm = alpha • DeltaT"
Libre parcours moyen dans un gaz,"l = 1/(n* • sigma)
sigma = diamètre d’une particule (dans un modèle a 2 dimensions)"
Nombre d’avogadro,"6,02 • 10^23 mol^{-1}"
Ordres de grandeurs libre parcours moyen,"gaz a pression et température ambiantes : 0,1 microm

liquide : 0,1 nanom"
Ordres de grandeurs pression,"Surpression dans un pneu de voiture : 2-2,5 bar
Vide pousse : 1 nanoPa
Surpression au passage d’une onde acoustique emise par une personne parlant normalement : 10^{-2} Pa"
"rhoeau,liq et rhoair","rhoeau,liq = 1,0 kg • L^{-1}

rhoair = 1,2 g • L^{-1}"
Valeurs remarquables de volumes molaires,"T = 273,15 K, P = 1 atm:
Vm = 22,4 L • mol^{-1}

T = 298,15 K, P = 1 atm:
Vm = 24 L • mol^{-1}
"
Validite du modele du gaz parfait,"P << Pc, T >> Tc"
Vitesse quadratique moyenne,"v* = sqrt(3 • kB • T / m) = sqrt(3 • R • T / M)
≈ 500 m • s^{-1} au temperature usuelle"
